structure,view,series,paths,placement,weight_bps,weight_basis,date,amount_cents
inst_90_1440000,event_adjusted,conditional,dispute_001_p1+dispute_002_p2,central,3,model_judgment,2024-11-20,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p1+dispute_002_p3,stress,,,2024-09-20,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p1+dispute_002_p3,stress,,,2024-10-21,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p1+dispute_002_p3,stress,,,2024-11-20,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p1+dispute_002_p3,central,33,model_judgment,2024-09-20,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p1+dispute_002_p3,central,33,model_judgment,2024-10-21,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p1+dispute_002_p3,central,33,model_judgment,2024-11-20,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p2+dispute_002_p1,stress,,,2024-09-20,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p2+dispute_002_p1,stress,,,2024-10-21,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p2+dispute_002_p1,stress,,,2024-11-20,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p2+dispute_002_p1,central,3639,model_judgment,2024-09-20,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p2+dispute_002_p1,central,3639,model_judgment,2024-10-21,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p2+dispute_002_p1,central,3639,model_judgment,2024-11-20,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p2+dispute_002_p2,stress,,,2024-09-20,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p2+dispute_002_p2,stress,,,2024-10-21,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p2+dispute_002_p2,stress,,,2024-11-20,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p2+dispute_002_p2,central,134,model_judgment,2024-09-20,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p2+dispute_002_p2,central,134,model_judgment,2024-10-21,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p2+dispute_002_p2,central,134,model_judgment,2024-11-20,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p2+dispute_002_p3,stress,,,2024-09-20,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p2+dispute_002_p3,stress,,,2024-10-21,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p2+dispute_002_p3,stress,,,2024-11-20,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p2+dispute_002_p3,central,1322,model_judgment,2024-09-20,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p2+dispute_002_p3,central,1322,model_judgment,2024-10-21,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p2+dispute_002_p3,central,1322,model_judgment,2024-11-20,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p3+dispute_002_p1,stress,,,2024-09-20,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p3+dispute_002_p1,stress,,,2024-10-21,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p3+dispute_002_p1,stress,,,2024-11-20,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p3+dispute_002_p1,central,661,model_judgment,2024-09-20,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p3+dispute_002_p1,central,661,model_judgment,2024-10-21,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p3+dispute_002_p1,central,661,model_judgment,2024-11-20,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p3+dispute_002_p2,stress,,,2024-09-20,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p3+dispute_002_p2,stress,,,2024-10-21,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p3+dispute_002_p2,stress,,,2024-11-20,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p3+dispute_002_p2,central,24,model_judgment,2024-09-20,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p3+dispute_002_p2,central,24,model_judgment,2024-10-21,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p3+dispute_002_p2,central,24,model_judgment,2024-11-20,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p3+dispute_002_p3,central,240,model_judgment,2024-09-20,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p3+dispute_002_p3,central,240,model_judgment,2024-10-21,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p3+dispute_002_p3,central,240,model_judgment,2024-11-20,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p4+dispute_002_p1,stress,,,2024-09-20,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p4+dispute_002_p1,stress,,,2024-10-21,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p4+dispute_002_p1,stress,,,2024-11-20,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p4+dispute_002_p1,central,145,model_judgment,2024-09-20,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p4+dispute_002_p1,central,145,model_judgment,2024-10-21,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p4+dispute_002_p1,central,145,model_judgment,2024-11-20,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p4+dispute_002_p2,stress,,,2024-09-20,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p4+dispute_002_p2,stress,,,2024-10-21,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p4+dispute_002_p2,stress,,,2024-11-20,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p4+dispute_002_p2,central,5,model_judgment,2024-09-20,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p4+dispute_002_p2,central,5,model_judgment,2024-10-21,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p4+dispute_002_p2,central,5,model_judgment,2024-11-20,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p4+dispute_002_p3,stress,,,2024-09-20,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p4+dispute_002_p3,stress,,,2024-10-21,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p4+dispute_002_p3,stress,,,2024-11-20,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p4+dispute_002_p3,central,53,model_judgment,2024-09-20,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p4+dispute_002_p3,central,53,model_judgment,2024-10-21,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p4+dispute_002_p3,central,53,model_judgment,2024-11-20,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p5+dispute_002_p1,stress,,,2024-09-20,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p5+dispute_002_p1,stress,,,2024-10-21,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p5+dispute_002_p1,stress,,,2024-11-20,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p5+dispute_002_p1,central,2607,model_judgment,2024-09-20,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p5+dispute_002_p1,central,2607,model_judgment,2024-10-21,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p5+dispute_002_p1,central,2607,model_judgment,2024-11-20,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p5+dispute_002_p2,stress,,,2024-09-20,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p5+dispute_002_p2,stress,,,2024-10-21,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p5+dispute_002_p2,stress,,,2024-11-20,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p5+dispute_002_p2,central,96,model_judgment,2024-09-20,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p5+dispute_002_p2,central,96,model_judgment,2024-10-21,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p5+dispute_002_p2,central,96,model_judgment,2024-11-20,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p5+dispute_002_p3,central,948,model_judgment,2024-09-20,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p5+dispute_002_p3,central,948,model_judgment,2024-10-21,49776000
inst_90_1440000,event_adjusted,conditional,dispute_001_p5+dispute_002_p3,central,948,model_judgment,2024-11-20,49776000
inst_90_1440000,event_adjusted,expected,,central,,model_judgment,2024-09-20,49776000
inst_90_1440000,event_adjusted,expected,,central,,model_judgment,2024-10-21,49776000
inst_90_1440000,event_adjusted,expected,,central,,model_judgment,2024-11-20,49776000
inst_90_1430000,bank_only,disbursement,,,,,2024-08-20,-143000000
inst_90_1430000,bank_only,contractual,,,,,2024-09-20,49430333
inst_90_1430000,bank_only,contractual,,,,,2024-10-21,49430333
inst_90_1430000,bank_only,contractual,,,,,2024-11-20,49430334
inst_90_1430000,bank_only,conditional,bank_only,central,10000,,2024-09-20,49430333
inst_90_1430000,bank_only,conditional,bank_only,central,10000,,2024-10-21,49430333
inst_90_1430000,bank_only,conditional,bank_only,central,10000,,2024-11-20,49430334
inst_90_1430000,bank_only,expected,,central,,model_judgment,2024-09-20,49430333
inst_90_1430000,bank_only,expected,,central,,model_judgment,2024-10-21,49430333
inst_90_1430000,bank_only,expected,,central,,model_judgment,2024-11-20,49430334
inst_90_1430000,event_adjusted,disbursement,,,,,2024-08-20,-143000000
inst_90_1430000,event_adjusted,contractual,,,,,2024-09-20,49430333
inst_90_1430000,event_adjusted,contractual,,,,,2024-10-21,49430333
inst_90_1430000,event_adjusted,contractual,,,,,2024-11-20,49430334
inst_90_1430000,event_adjusted,conditional,dispute_001_p1+dispute_002_p1,stress,,,2024-09-20,49430333
inst_90_1430000,event_adjusted,conditional,dispute_001_p1+dispute_002_p1,stress,,,2024-10-21,49430333
inst_90_1430000,event_adjusted,conditional,dispute_001_p1+dispute_002_p1,stress,,,2024-11-20,49430334
inst_90_1430000,event_adjusted,conditional,dispute_001_p1+dispute_002_p1,central,90,model_judgment,2024-09-20,49430333
inst_90_1430000,event_adjusted,conditional,dispute_001_p1+dispute_002_p1,central,90,model_judgment,2024-10-21,49430333
inst_90_1430000,event_adjusted,conditional,dispute_001_p1+dispute_002_p1,central,90,model_judgment,2024-11-20,49430334
inst_90_1430000,event_adjusted,conditional,dispute_001_p1+dispute_002_p2,stress,,,2024-09-20,49430333
inst_90_1430000,event_adjusted,conditional,dispute_001_p1+dispute_002_p2,stress,,,2024-10-21,49430333
inst_90_1430000,event_adjusted,conditional,dispute_001_p1+dispute_002_p2,stress,,,2024-11-20,49430334
inst_90_1430000,event_adjusted,conditional,dispute_001_p1+dispute_002_p2,central,3,model_judgment,2024-09-20,49430333
inst_90_1430000,event_adjusted,conditional,dispute_001_p1+dispute_002_p2,central,3,model_judgment,2024-10-21,49430333
inst_90_1430000,event_adjusted,conditional,dispute_001_p1+dispute_002_p2,central,3,model_judgment,2024-11-20,49430334
inst_90_1430000,event_adjusted,conditional,dispute_001_p1+dispute_002_p3,stress,,,2024-09-20,49430333
inst_90_1430000,event_adjusted,conditional,dispute_001_p1+dispute_002_p3,stress,,,2024-10-21,49430333
inst_90_1430000,event_adjusted,conditional,dispute_001_p1+dispute_002_p3,stress,,,2024-11-20,49430334
inst_90_1430000,event_adjusted,conditional,dispute_001_p1+dispute_002_p3,central,33,model_judgment,2024-09-20,49430333
inst_90_1430000,event_adjusted,conditional,dispute_001_p1+dispute_002_p3,central,33,model_judgment,2024-10-21,49430333
inst_90_1430000,event_adjusted,conditional,dispute_001_p1+dispute_002_p3,central,33,model_judgment,2024-11-20,49430334
inst_90_1430000,event_adjusted,conditional,dispute_001_p2+dispute_002_p1,stress,,,2024-09-20,49430333
inst_90_1430000,event_adjusted,conditional,dispute_001_p2+dispute_002_p1,stress,,,2024-10-21,49430333
inst_90_1430000,event_adjusted,conditional,dispute_001_p2+dispute_002_p1,stress,,,2024-11-20,49430334
inst_90_1430000,event_adjusted,conditional,dispute_001_p2+dispute_002_p1,central,3639,model_judgment,2024-09-20,49430333
inst_90_1430000,event_adjusted,conditional,dispute_001_p2+dispute_002_p1,central,3639,model_judgment,2024-10-21,49430333
inst_90_1430000,event_adjusted,conditional,dispute_001_p2+dispute_002_p1,central,3639,model_judgment,2024-11-20,49430334
inst_90_1430000,event_adjusted,conditional,dispute_001_p2+dispute_002_p2,stress,,,2024-09-20,49430333
inst_90_1430000,event_adjusted,conditional,dispute_001_p2+dispute_002_p2,stress,,,2024-10-21,49430333
inst_90_1430000,event_adjusted,conditional,dispute_001_p2+dispute_002_p2,stress,,,2024-11-20,49430334
inst_90_1430000,event_adjusted,conditional,dispute_001_p2+dispute_002_p2,central,134,model_judgment,2024-09-20,49430333
inst_90_1430000,event_adjusted,conditional,dispute_001_p2+dispute_002_p2,central,134,model_judgment,2024-10-21,49430333
inst_90_1430000,event_adjusted,conditional,dispute_001_p2+dispute_002_p2,central,134,model_judgment,2024-11-20,49430334
inst_90_1430000,event_adjusted,conditional,dispute_001_p2+dispute_002_p3,stress,,,2024-09-20,49430333
inst_90_1430000,event_adjusted,conditional,dispute_001_p2+dispute_002_p3,stress,,,2024-10-21,49430333
inst_90_1430000,event_adjusted,conditional,dispute_001_p2+dispute_002_p3,stress,,,2024-11-20,49430334
inst_90_1430000,event_adjusted,conditional,dispute_001_p2+dispute_002_p3,central,1322,model_judgment,2024-09-20,49430333
inst_90_1430000,event_adjusted,conditional,dispute_001_p2+dispute_002_p3,central,1322,model_judgment,2024-10-21,49430333
inst_90_1430000,event_adjusted,conditional,dispute_001_p2+dispute_002_p3,central,1322,model_judgment,2024-11-20,49430334
inst_90_1430000,event_adjusted,conditional,dispute_001_p3+dispute_002_p1,stress,,,2024-09-20,49430333
inst_90_1430000,event_adjusted,conditional,dispute_001_p3+dispute_002_p1,stress,,,2024-10-21,49430333
inst_90_1430000,event_adjusted,conditional,dispute_001_p3+dispute_002_p1,stress,,,2024-11-20,49430334
inst_90_1430000,event_adjusted,conditional,dispute_001_p3+dispute_002_p1,central,661,model_judgment,2024-09-20,49430333
inst_90_1430000,event_adjusted,conditional,dispute_001_p3+dispute_002_p1,central,661,model_judgment,2024-10-21,49430333
inst_90_1430000,event_adjusted,conditional,dispute_001_p3+dispute_002_p1,central,661,model_judgment,2024-11-20,49430334
inst_90_1430000,event_adjusted,conditional,dispute_001_p3+dispute_002_p2,stress,,,2024-09-20,49430333
inst_90_1430000,event_adjusted,conditional,dispute_001_p3+dispute_002_p2,stress,,,2024-10-21,49430333
inst_90_1430000,event_adjusted,conditional,dispute_001_p3+dispute_002_p2,stress,,,2024-11-20,49430334
inst_90_1430000,event_adjusted,conditional,dispute_001_p3+dispute_002_p2,central,24,model_judgment,2024-09-20,49430333
inst_90_1430000,event_adjusted,conditional,dispute_001_p3+dispute_002_p2,central,24,model_judgment,2024-10-21,49430333
inst_90_1430000,event_adjusted,conditional,dispute_001_p3+dispute_002_p2,central,24,model_judgment,2024-11-20,49430334
inst_90_1430000,event_adjusted,conditional,dispute_001_p3+dispute_002_p3,central,240,model_judgment,2024-09-20,49430333
inst_90_1430000,event_adjusted,conditional,dispute_001_p3+dispute_002_p3,central,240,model_judgment,2024-10-21,49430333
inst_90_1430000,event_adjusted,conditional,dispute_001_p3+dispute_002_p3,central,240,model_judgment,2024-11-20,49430334
inst_90_1430000,event_adjusted,conditional,dispute_001_p4+dispute_002_p1,stress,,,2024-09-20,49430333
inst_90_1430000,event_adjusted,conditional,dispute_001_p4+dispute_002_p1,stress,,,2024-10-21,49430333
inst_90_1430000,event_adjusted,conditional,dispute_001_p4+dispute_002_p1,stress,,,2024-11-20,49430334
inst_90_1430000,event_adjusted,conditional,dispute_001_p4+dispute_002_p1,central,145,model_judgment,2024-09-20,49430333
inst_90_1430000,event_adjusted,conditional,dispute_001_p4+dispute_002_p1,central,145,model_judgment,2024-10-21,49430333
inst_90_1430000,event_adjusted,conditional,dispute_001_p4+dispute_002_p1,central,145,model_judgment,2024-11-20,49430334
inst_90_1430000,event_adjusted,conditional,dispute_001_p4+dispute_002_p2,stress,,,2024-09-20,49430333
inst_90_1430000,event_adjusted,conditional,dispute_001_p4+dispute_002_p2,stress,,,2024-10-21,49430333
inst_90_1430000,event_adjusted,conditional,dispute_001_p4+dispute_002_p2,stress,,,2024-11-20,49430334
inst_90_1430000,event_adjusted,conditional,dispute_001_p4+dispute_002_p2,central,5,model_judgment,2024-09-20,49430333
inst_90_1430000,event_adjusted,conditional,dispute_001_p4+dispute_002_p2,central,5,model_judgment,2024-10-21,49430333
inst_90_1430000,event_adjusted,conditional,dispute_001_p4+dispute_002_p2,central,5,model_judgment,2024-11-20,49430334
inst_90_1430000,event_adjusted,conditional,dispute_001_p4+dispute_002_p3,stress,,,2024-09-20,49430333
inst_90_1430000,event_adjusted,conditional,dispute_001_p4+dispute_002_p3,stress,,,2024-10-21,49430333
inst_90_1430000,event_adjusted,conditional,dispute_001_p4+dispute_002_p3,stress,,,2024-11-20,49430334
inst_90_1430000,event_adjusted,conditional,dispute_001_p4+dispute_002_p3,central,53,model_judgment,2024-09-20,49430333
inst_90_1430000,event_adjusted,conditional,dispute_001_p4+dispute_002_p3,central,53,model_judgment,2024-10-21,49430333
inst_90_1430000,event_adjusted,conditional,dispute_001_p4+dispute_002_p3,central,53,model_judgment,2024-11-20,49430334
inst_90_1430000,event_adjusted,conditional,dispute_001_p5+dispute_002_p1,stress,,,2024-09-20,49430333
inst_90_1430000,event_adjusted,conditional,dispute_001_p5+dispute_002_p1,stress,,,2024-10-21,49430333
inst_90_1430000,event_adjusted,conditional,dispute_001_p5+dispute_002_p1,stress,,,2024-11-20,49430334
inst_90_1430000,event_adjusted,conditional,dispute_001_p5+dispute_002_p1,central,2607,model_judgment,2024-09-20,49430333
inst_90_1430000,event_adjusted,conditional,dispute_001_p5+dispute_002_p1,central,2607,model_judgment,2024-10-21,49430333
inst_90_1430000,event_adjusted,conditional,dispute_001_p5+dispute_002_p1,central,2607,model_judgment,2024-11-20,49430334
inst_90_1430000,event_adjusted,conditional,dispute_001_p5+dispute_002_p2,stress,,,2024-09-20,49430333
inst_90_1430000,event_adjusted,conditional,dispute_001_p5+dispute_002_p2,stress,,,2024-10-21,49430333
inst_90_1430000,event_adjusted,conditional,dispute_001_p5+dispute_002_p2,stress,,,2024-11-20,49430334
inst_90_1430000,event_adjusted,conditional,dispute_001_p5+dispute_002_p2,central,96,model_judgment,2024-09-20,49430333
inst_90_1430000,event_adjusted,conditional,dispute_001_p5+dispute_002_p2,central,96,model_judgment,2024-10-21,49430333
inst_90_1430000,event_adjusted,conditional,dispute_001_p5+dispute_002_p2,central,96,model_judgment,2024-11-20,49430334
inst_90_1430000,event_adjusted,conditional,dispute_001_p5+dispute_002_p3,central,948,model_judgment,2024-09-20,49430333
inst_90_1430000,event_adjusted,conditional,dispute_001_p5+dispute_002_p3,central,948,model_judgment,2024-10-21,49430333
inst_90_1430000,event_adjusted,conditional,dispute_001_p5+dispute_002_p3,central,948,model_judgment,2024-11-20,49430334
inst_90_1430000,event_adjusted,expected,,central,,model_judgment,2024-09-20,49430333
inst_90_1430000,event_adjusted,expected,,central,,model_judgment,2024-10-21,49430333
inst_90_1430000,event_adjusted,expected,,central,,model_judgment,2024-11-20,49430334
